"","TimeofDay","AirTemp","Humidity","Dewpoint","BarPres","WindSpeed","SolarRad"
"1",15,2.616,76.6,-1.09,102.84,0.78,3.48
"2",30,2.133,79.8,-1,102.85,0.891,3.49
"3",45,2.017,79.1,-1.21,102.84,0.902,3.49
"4",100,1.659,80.2,-1.39,102.84,0.89,3.49
"5",115,1.618,79.3,-1.56,102.84,0.659,3.48
"6",130,1.601,78.8,-1.68,102.84,0.481,3.49
"7",145,2.068,73.9,-2.09,102.84,0.526,3.48
"8",200,2.183,77.1,-1.41,102.84,0.689,3.48
"9",215,1.384,82.2,-1.31,102.85,0.72,3.48
"10",230,2.21,74.7,-1.81,102.87,0.988,3.48
"11",245,2.856,68.64,-2.33,102.88,0.72,3.48
"12",300,2.295,75.1,-1.66,102.88,0.537,3.48
"13",315,1.272,82.1,-1.44,102.89,0.731,3.48
"14",330,1.173,80.4,-1.81,102.88,0.766,3.48
"15",345,0.865,80,-2.2,102.89,0.901,3.48
"16",400,1.455,74.8,-2.54,102.89,0.827,3.48
"17",415,1.603,73.1,-2.7,102.88,0.782,3.48
"18",430,0.952,79.2,-2.25,102.88,0.841,3.48
"19",445,0.038,84.3,-2.3,102.89,0.944,3.48
"20",500,0.27,80.2,-2.75,102.9,0.931,3.48
"21",515,1.169,74.6,-2.83,102.91,1.035,3.48
"22",530,0.653,77,-2.92,102.9,0.916,3.48
"23",545,0.16,81,-2.7,102.92,1.347,3.48
"24",600,0.186,81.1,-2.67,102.92,0.96,3.48
"25",615,0.125,83.4,-2.35,102.93,0.617,3.48
"26",630,0.621,80.3,-2.38,102.94,1.037,3.48
"27",645,0.335,81,-2.54,102.96,1.016,3.48
"28",700,0.177,82.5,-2.43,102.97,0.895,3.48
"29",715,0.479,80.9,-2.41,102.97,0.673,3.52
"30",730,0.482,81.7,-2.27,102.97,0.755,6.12
"31",745,0.865,79.3,-2.3,102.99,0.821,13.61
"32",800,1.207,78.9,-2.04,102.99,0.558,25.57
"33",815,1.644,78.7,-1.66,103,0.447,52.75
"34",830,2.111,76,-1.68,103,0.663,62.98
"35",845,2.906,74.5,-1.19,103.01,0.588,95.5
"36",900,3.801,74.4,-0.31,103,0.447,151.6
"37",915,7.24,63.48,0.75,103.01,0.538,157.7
"38",930,7.68,62.98,1.09,103.03,0.472,184.3
"39",945,9.36,65.03,3.09,103.05,0.516,301.3
"40",1000,12.68,47.04,1.67,103.05,0.586,305.7
"41",1015,13.21,40.81,0.18,103.06,0.62,294.6
"42",1030,14.27,38.49,0.34,103.06,1.356,403.2
"43",1045,15.25,33.65,-0.64,103.07,1.127,469.7
"44",1100,16.02,30.95,-1.12,103.09,1.297,464.6
"45",1115,16.5,32.58,0,103.09,1.323,501.6
"46",1130,16.52,35.09,1.05,103.07,1.325,523.8
"47",1145,16.89,34.01,0.95,103.06,1.849,540.4
"48",1200,17.23,31.72,0.27,103.05,1.507,549.4
"49",1215,17.45,30.37,-0.13,103.02,1.945,559.9
"50",1230,17.42,30.55,-0.09,102.98,1.973,566.9
"51",1245,17.35,30.88,0.03,102.95,2.708,568.3
"52",1300,17.63,30.09,-0.11,102.92,2.28,565.7
"53",1315,18.05,28.81,-0.34,102.9,2.458,564.4
"54",1330,18.38,27.4,-0.73,102.88,2.225,550.4
"55",1345,18.64,25.83,-1.31,102.86,2.455,544.3
"56",1400,18.92,23.35,-2.46,102.86,2.044,526.6
"57",1415,19.35,19.57,-4.47,102.85,1.98,441.5
"58",1430,19.89,17.93,-5.18,102.83,1.562,519.6
"59",1445,20.48,13.13,-8.75,102.82,1.686,456.3
"60",1500,20.43,13.18,-8.75,102.83,1.887,412
"61",1515,20.45,12.98,-8.91,102.83,2.353,376.2
"62",1530,20.54,13.85,-8,102.83,1.776,325.6
"63",1545,20.56,14.33,-7.55,102.81,1.665,283.1
"64",1600,20.66,14.61,-7.21,102.81,1.677,282.2
"65",1615,20.69,14.86,-7,102.8,1.321,221.8
"66",1630,20.5,14.94,-7.07,102.77,0.864,113.9
"67",1645,19.68,16.52,-6.4,102.77,1.006,72.6
"68",1700,18.47,20.85,-4.37,102.74,1.243,48
"69",1715,17.52,21.82,-4.53,102.73,1.143,36.07
"70",1730,17.41,20.98,-5.15,102.73,0.574,25.26
"71",1745,17.38,22.25,-4.41,102.77,1.408,7.64
"72",1800,16.94,24.72,-3.41,102.78,0.84,4.21
"73",1815,15.02,31.24,-1.89,102.8,0.448,4.17
"74",1830,13.83,35.54,-1.14,102.81,0.496,4.17
